,ent_h,rel,ent_t
0,0_month_old,is_a,baby_stage
1,0_month_old,is_a,monthly_stage
2,0_month_old,is_a,person
3,0_month_old,is_not,10_month_old
4,0_month_old,is_not,11_month_old
5,0_month_old,is_not,12_month_old
6,0_month_old,is_not,13_month_old
7,0_month_old,is_not,14_month_old
8,0_month_old,is_not,15_month_old
9,0_month_old,is_not,16_month_old
10,0_month_old,is_not,17_month_old
11,0_month_old,is_not,18_month_old
12,0_month_old,is_not,19_month_old
13,0_month_old,is_not,1_month_old
14,0_month_old,is_not,20_month_old
15,0_month_old,is_not,21_month_old
16,0_month_old,is_not,22_month_old
17,0_month_old,is_not,23_month_old
18,0_month_old,is_not,24_month_old
19,0_month_old,is_not,25_month_old
20,0_month_old,is_not,26_month_old
21,0_month_old,is_not,27_month_old
22,0_month_old,is_not,28_month_old
23,0_month_old,is_not,29_month_old
24,0_month_old,is_not,2_month_old
25,0_month_old,is_not,30_month_old
26,0_month_old,is_not,31_month_old
27,0_month_old,is_not,32_month_old
28,0_month_old,is_not,33_month_old
29,0_month_old,is_not,34_month_old
30,0_month_old,is_not,35_month_old
31,0_month_old,is_not,36_month_old
32,0_month_old,is_not,3_month_old
33,0_month_old,is_not,4_month_old
34,0_month_old,is_not,5_month_old
35,0_month_old,is_not,6_month_old
36,0_month_old,is_not,7_month_old
37,0_month_old,is_not,8_month_old
38,0_month_old,is_not,9_month_old
39,100_percent_juice,is_a,juice
40,10_month_old,is_a,baby_stage
41,10_month_old,is_a,monthly_stage
42,10_month_old,is_not,11_month_old
43,10_month_old,is_not,12_month_old
44,10_month_old,is_not,13_month_old
45,10_month_old,is_not,14_month_old
46,10_month_old,is_not,15_month_old
47,10_month_old,is_not,16_month_old
48,10_month_old,is_not,17_month_old
49,10_month_old,is_not,18_month_old
50,10_month_old,is_not,19_month_old
51,10_month_old,is_not,20_month_old
52,10_month_old,is_not,21_month_old
53,10_month_old,is_not,22_month_old
54,10_month_old,is_not,23_month_old
55,10_month_old,is_not,24_month_old
56,10_month_old,is_not,25_month_old
57,10_month_old,is_not,26_month_old
58,10_month_old,is_not,27_month_old
59,10_month_old,is_not,28_month_old
60,10_month_old,is_not,29_month_old
61,10_month_old,is_not,2_month_old
62,10_month_old,is_not,30_month_old
63,10_month_old,is_not,31_month_old
64,10_month_old,is_not,32_month_old
65,10_month_old,is_not,33_month_old
66,10_month_old,is_not,34_month_old
67,10_month_old,is_not,35_month_old
68,10_month_old,is_not,36_month_old
69,10_month_old,is_not,3_month_old
70,10_month_old,is_not,4_month_old
71,10_month_old,is_not,5_month_old
72,10_month_old,is_not,6_month_old
73,10_month_old,is_not,7_month_old
74,10_month_old,is_not,8_month_old
75,10_month_old,is_not,9_month_old
76,11_month_old,is_a,baby_stage
77,11_month_old,is_a,monthly_stage
78,11_month_old,is_a,person
79,11_month_old,is_not,12_month_old
80,11_month_old,is_not,13_month_old
81,11_month_old,is_not,14_month_old
82,11_month_old,is_not,15_month_old
83,11_month_old,is_not,16_month_old
84,11_month_old,is_not,17_month_old
85,11_month_old,is_not,18_month_old
86,11_month_old,is_not,19_month_old
87,11_month_old,is_not,20_month_old
88,11_month_old,is_not,21_month_old
89,11_month_old,is_not,22_month_old
90,11_month_old,is_not,23_month_old
91,11_month_old,is_not,24_month_old
92,11_month_old,is_not,25_month_old
93,11_month_old,is_not,26_month_old
94,11_month_old,is_not,27_month_old
95,11_month_old,is_not,28_month_old
96,11_month_old,is_not,29_month_old
97,11_month_old,is_not,2_month_old
98,11_month_old,is_not,30_month_old
99,11_month_old,is_not,31_month_old
100,11_month_old,is_not,32_month_old
101,11_month_old,is_not,33_month_old
102,11_month_old,is_not,34_month_old
103,11_month_old,is_not,35_month_old
104,11_month_old,is_not,36_month_old
105,11_month_old,is_not,3_month_old
106,11_month_old,is_not,4_month_old
107,11_month_old,is_not,5_month_old
108,11_month_old,is_not,6_month_old
109,11_month_old,is_not,7_month_old
110,11_month_old,is_not,8_month_old
111,11_month_old,is_not,9_month_old
112,12_month_old,is_a,baby_stage
113,12_month_old,is_a,monthly_stage
114,12_month_old,is_a,person
115,12_month_old,is_not,13_month_old
116,12_month_old,is_not,14_month_old
117,12_month_old,is_not,15_month_old
118,12_month_old,is_not,16_month_old
119,12_month_old,is_not,17_month_old
120,12_month_old,is_not,18_month_old
121,12_month_old,is_not,19_month_old
122,12_month_old,is_not,20_month_old
123,12_month_old,is_not,21_month_old
124,12_month_old,is_not,22_month_old
125,12_month_old,is_not,23_month_old
126,12_month_old,is_not,24_month_old
127,12_month_old,is_not,25_month_old
128,12_month_old,is_not,26_month_old
129,12_month_old,is_not,27_month_old
130,12_month_old,is_not,28_month_old
131,12_month_old,is_not,29_month_old
132,12_month_old,is_not,2_month_old
133,12_month_old,is_not,30_month_old
134,12_month_old,is_not,31_month_old
135,12_month_old,is_not,32_month_old
136,12_month_old,is_not,33_month_old
137,12_month_old,is_not,34_month_old
138,12_month_old,is_not,35_month_old
139,12_month_old,is_not,36_month_old
140,12_month_old,is_not,3_month_old
141,12_month_old,is_not,4_month_old
142,12_month_old,is_not,5_month_old
143,12_month_old,is_not,6_month_old
144,12_month_old,is_not,7_month_old
145,12_month_old,is_not,8_month_old
146,12_month_old,is_not,9_month_old
147,13_month_old,is_a,monthly_stage
148,13_month_old,is_a,toddler_stage
149,13_month_old,is_not,14_month_old
150,13_month_old,is_not,15_month_old
151,13_month_old,is_not,16_month_old
152,13_month_old,is_not,17_month_old
153,13_month_old,is_not,18_month_old
154,13_month_old,is_not,19_month_old
155,13_month_old,is_not,20_month_old
156,13_month_old,is_not,21_month_old
157,13_month_old,is_not,22_month_old
158,13_month_old,is_not,23_month_old
159,13_month_old,is_not,24_month_old
160,13_month_old,is_not,25_month_old
161,13_month_old,is_not,26_month_old
162,13_month_old,is_not,27_month_old
163,13_month_old,is_not,28_month_old
164,13_month_old,is_not,29_month_old
165,13_month_old,is_not,2_month_old
166,13_month_old,is_not,30_month_old
167,13_month_old,is_not,31_month_old
168,13_month_old,is_not,32_month_old
169,13_month_old,is_not,33_month_old
170,13_month_old,is_not,34_month_old
171,13_month_old,is_not,35_month_old
172,13_month_old,is_not,36_month_old
173,13_month_old,is_not,3_month_old
174,13_month_old,is_not,4_month_old
175,13_month_old,is_not,5_month_old
176,13_month_old,is_not,6_month_old
177,13_month_old,is_not,7_month_old
178,13_month_old,is_not,8_month_old
179,13_month_old,is_not,9_month_old
180,14_month_old,is_a,monthly_stage
181,14_month_old,is_a,person
182,14_month_old,is_a,toddler_stage
183,14_month_old,is_not,15_month_old
184,14_month_old,is_not,16_month_old
185,14_month_old,is_not,17_month_old
186,14_month_old,is_not,18_month_old
187,14_month_old,is_not,19_month_old
188,14_month_old,is_not,20_month_old
189,14_month_old,is_not,21_month_old
190,14_month_old,is_not,22_month_old
191,14_month_old,is_not,23_month_old
192,14_month_old,is_not,24_month_old
193,14_month_old,is_not,25_month_old
194,14_month_old,is_not,26_month_old
195,14_month_old,is_not,27_month_old
196,14_month_old,is_not,28_month_old
197,14_month_old,is_not,29_month_old
198,14_month_old,is_not,2_month_old
199,14_month_old,is_not,30_month_old
200,14_month_old,is_not,31_month_old
201,14_month_old,is_not,32_month_old
202,14_month_old,is_not,33_month_old
203,14_month_old,is_not,34_month_old
204,14_month_old,is_not,35_month_old
205,14_month_old,is_not,36_month_old
206,14_month_old,is_not,3_month_old
207,14_month_old,is_not,4_month_old
208,14_month_old,is_not,5_month_old
209,14_month_old,is_not,6_month_old
210,14_month_old,is_not,7_month_old
211,14_month_old,is_not,8_month_old
212,14_month_old,is_not,9_month_old
213,15_month_old,is_a,monthly_stage
214,15_month_old,is_a,person
215,15_month_old,is_a,toddler_stage
216,15_month_old,is_not,16_month_old
217,15_month_old,is_not,17_month_old
218,15_month_old,is_not,18_month_old
219,15_month_old,is_not,19_month_old
220,15_month_old,is_not,20_month_old
221,15_month_old,is_not,21_month_old
222,15_month_old,is_not,22_month_old
223,15_month_old,is_not,23_month_old
224,15_month_old,is_not,24_month_old
225,15_month_old,is_not,25_month_old
226,15_month_old,is_not,26_month_old
227,15_month_old,is_not,27_month_old
228,15_month_old,is_not,28_month_old
229,15_month_old,is_not,29_month_old
230,15_month_old,is_not,2_month_old
231,15_month_old,is_not,30_month_old
232,15_month_old,is_not,31_month_old
233,15_month_old,is_not,32_month_old
234,15_month_old,is_not,33_month_old
235,15_month_old,is_not,34_month_old
236,15_month_old,is_not,35_month_old
237,15_month_old,is_not,36_month_old
238,15_month_old,is_not,3_month_old
239,15_month_old,is_not,4_month_old
240,15_month_old,is_not,5_month_old
241,15_month_old,is_not,6_month_old
242,15_month_old,is_not,7_month_old
243,15_month_old,is_not,8_month_old
244,15_month_old,is_not,9_month_old
245,16_month_old,is_a,monthly_stage
246,16_month_old,is_a,person
247,16_month_old,is_a,toddler_stage
248,16_month_old,is_not,17_month_old
249,16_month_old,is_not,18_month_old
250,16_month_old,is_not,19_month_old
251,16_month_old,is_not,20_month_old
252,16_month_old,is_not,21_month_old
253,16_month_old,is_not,22_month_old
254,16_month_old,is_not,23_month_old
255,16_month_old,is_not,24_month_old
256,16_month_old,is_not,25_month_old
257,16_month_old,is_not,26_month_old
258,16_month_old,is_not,27_month_old
259,16_month_old,is_not,28_month_old
260,16_month_old,is_not,29_month_old
261,16_month_old,is_not,2_month_old
262,16_month_old,is_not,30_month_old
263,16_month_old,is_not,31_month_old
264,16_month_old,is_not,32_month_old
265,16_month_old,is_not,33_month_old
266,16_month_old,is_not,34_month_old
267,16_month_old,is_not,35_month_old
268,16_month_old,is_not,36_month_old
269,16_month_old,is_not,3_month_old
270,16_month_old,is_not,4_month_old
271,16_month_old,is_not,5_month_old
272,16_month_old,is_not,6_month_old
273,16_month_old,is_not,7_month_old
274,16_month_old,is_not,8_month_old
275,16_month_old,is_not,9_month_old
276,17_month_old,is_a,monthly_stage
277,17_month_old,is_a,person
278,17_month_old,is_a,toddler_stage
279,17_month_old,is_not,18_month_old
280,17_month_old,is_not,19_month_old
281,17_month_old,is_not,20_month_old
282,17_month_old,is_not,21_month_old
283,17_month_old,is_not,22_month_old
284,17_month_old,is_not,23_month_old
285,17_month_old,is_not,24_month_old
286,17_month_old,is_not,25_month_old
287,17_month_old,is_not,26_month_old
288,17_month_old,is_not,27_month_old
289,17_month_old,is_not,28_month_old
290,17_month_old,is_not,29_month_old
291,17_month_old,is_not,2_month_old
292,17_month_old,is_not,30_month_old
293,17_month_old,is_not,31_month_old
294,17_month_old,is_not,32_month_old
295,17_month_old,is_not,33_month_old
296,17_month_old,is_not,34_month_old
297,17_month_old,is_not,35_month_old
298,17_month_old,is_not,36_month_old
299,17_month_old,is_not,3_month_old
300,17_month_old,is_not,4_month_old
301,17_month_old,is_not,5_month_old
302,17_month_old,is_not,6_month_old
303,17_month_old,is_not,7_month_old
304,17_month_old,is_not,8_month_old
305,17_month_old,is_not,9_month_old
306,18_month_old,is_a,monthly_stage
307,18_month_old,is_a,person
308,18_month_old,is_a,toddler_stage
309,18_month_old,is_not,19_month_old
310,18_month_old,is_not,20_month_old
311,18_month_old,is_not,21_month_old
312,18_month_old,is_not,22_month_old
313,18_month_old,is_not,23_month_old
314,18_month_old,is_not,24_month_old
315,18_month_old,is_not,25_month_old
316,18_month_old,is_not,26_month_old
317,18_month_old,is_not,27_month_old
318,18_month_old,is_not,28_month_old
319,18_month_old,is_not,29_month_old
320,18_month_old,is_not,2_month_old
321,18_month_old,is_not,30_month_old
322,18_month_old,is_not,31_month_old
323,18_month_old,is_not,32_month_old
324,18_month_old,is_not,33_month_old
325,18_month_old,is_not,34_month_old
326,18_month_old,is_not,35_month_old
327,18_month_old,is_not,36_month_old
328,18_month_old,is_not,3_month_old
329,18_month_old,is_not,4_month_old
330,18_month_old,is_not,5_month_old
331,18_month_old,is_not,6_month_old
332,18_month_old,is_not,7_month_old
333,18_month_old,is_not,8_month_old
334,18_month_old,is_not,9_month_old
335,19_month_old,is_a,monthly_stage
336,19_month_old,is_a,person
337,19_month_old,is_a,toddler_stage
338,19_month_old,is_not,20_month_old
339,19_month_old,is_not,21_month_old
340,19_month_old,is_not,22_month_old
341,19_month_old,is_not,23_month_old
342,19_month_old,is_not,24_month_old
343,19_month_old,is_not,25_month_old
344,19_month_old,is_not,26_month_old
345,19_month_old,is_not,27_month_old
346,19_month_old,is_not,28_month_old
347,19_month_old,is_not,29_month_old
348,19_month_old,is_not,2_month_old
349,19_month_old,is_not,30_month_old
350,19_month_old,is_not,31_month_old
351,19_month_old,is_not,32_month_old
352,19_month_old,is_not,33_month_old
353,19_month_old,is_not,34_month_old
354,19_month_old,is_not,35_month_old
355,19_month_old,is_not,36_month_old
356,19_month_old,is_not,3_month_old
357,19_month_old,is_not,4_month_old
358,19_month_old,is_not,5_month_old
359,19_month_old,is_not,6_month_old
360,19_month_old,is_not,7_month_old
361,19_month_old,is_not,8_month_old
362,19_month_old,is_not,9_month_old
363,1_month_old,is_a,baby_stage
364,1_month_old,is_a,monthly_stage
365,1_month_old,is_a,person
366,1_month_old,is_not,10_month_old
367,1_month_old,is_not,11_month_old
368,1_month_old,is_not,12_month_old
369,1_month_old,is_not,13_month_old
370,1_month_old,is_not,14_month_old
371,1_month_old,is_not,15_month_old
372,1_month_old,is_not,16_month_old
373,1_month_old,is_not,17_month_old
374,1_month_old,is_not,18_month_old
375,1_month_old,is_not,19_month_old
376,1_month_old,is_not,20_month_old
377,1_month_old,is_not,21_month_old
378,1_month_old,is_not,22_month_old
379,1_month_old,is_not,23_month_old
380,1_month_old,is_not,24_month_old
381,1_month_old,is_not,25_month_old
382,1_month_old,is_not,26_month_old
383,1_month_old,is_not,27_month_old
384,1_month_old,is_not,28_month_old
385,1_month_old,is_not,29_month_old
386,1_month_old,is_not,2_month_old
387,1_month_old,is_not,30_month_old
388,1_month_old,is_not,31_month_old
389,1_month_old,is_not,32_month_old
390,1_month_old,is_not,33_month_old
391,1_month_old,is_not,34_month_old
392,1_month_old,is_not,35_month_old
393,1_month_old,is_not,36_month_old
394,1_month_old,is_not,3_month_old
395,1_month_old,is_not,4_month_old
396,1_month_old,is_not,5_month_old
397,1_month_old,is_not,6_month_old
398,1_month_old,is_not,7_month_old
399,1_month_old,is_not,8_month_old
400,1_month_old,is_not,9_month_old
401,20_month_old,is_a,monthly_stage
402,20_month_old,is_a,person
403,20_month_old,is_a,toddler_stage
404,20_month_old,is_not,21_month_old
405,20_month_old,is_not,22_month_old
406,20_month_old,is_not,23_month_old
407,20_month_old,is_not,24_month_old
408,20_month_old,is_not,25_month_old
409,20_month_old,is_not,26_month_old
410,20_month_old,is_not,27_month_old
411,20_month_old,is_not,28_month_old
412,20_month_old,is_not,29_month_old
413,20_month_old,is_not,30_month_old
414,20_month_old,is_not,31_month_old
415,20_month_old,is_not,32_month_old
416,20_month_old,is_not,33_month_old
417,20_month_old,is_not,34_month_old
418,20_month_old,is_not,35_month_old
419,20_month_old,is_not,36_month_old
420,20_month_old,is_not,3_month_old
421,20_month_old,is_not,4_month_old
422,20_month_old,is_not,5_month_old
423,20_month_old,is_not,6_month_old
424,20_month_old,is_not,7_month_old
425,20_month_old,is_not,8_month_old
426,20_month_old,is_not,9_month_old
427,20to40_minute,is_a,breast_feeding
428,21_month_old,is_a,monthly_stage
429,21_month_old,is_a,person
430,21_month_old,is_a,toddler_stage
431,21_month_old,is_not,22_month_old
432,21_month_old,is_not,23_month_old
433,21_month_old,is_not,24_month_old
434,21_month_old,is_not,25_month_old
435,21_month_old,is_not,26_month_old
436,21_month_old,is_not,27_month_old
437,21_month_old,is_not,28_month_old
438,21_month_old,is_not,29_month_old
439,21_month_old,is_not,30_month_old
440,21_month_old,is_not,31_month_old
441,21_month_old,is_not,32_month_old
442,21_month_old,is_not,33_month_old
443,21_month_old,is_not,34_month_old
444,21_month_old,is_not,35_month_old
445,21_month_old,is_not,36_month_old
446,21_month_old,is_not,3_month_old
447,21_month_old,is_not,4_month_old
448,21_month_old,is_not,5_month_old
449,21_month_old,is_not,6_month_old
450,21_month_old,is_not,7_month_old
451,21_month_old,is_not,8_month_old
452,21_month_old,is_not,9_month_old
453,22_month_old,is_a,monthly_stage
454,22_month_old,is_a,person
455,22_month_old,is_a,toddler_stage
456,22_month_old,is_not,23_month_old
457,22_month_old,is_not,24_month_old
458,22_month_old,is_not,25_month_old
459,22_month_old,is_not,26_month_old
460,22_month_old,is_not,27_month_old
461,22_month_old,is_not,28_month_old
462,22_month_old,is_not,29_month_old
463,22_month_old,is_not,30_month_old
464,22_month_old,is_not,31_month_old
465,22_month_old,is_not,32_month_old
466,22_month_old,is_not,33_month_old
467,22_month_old,is_not,34_month_old
468,22_month_old,is_not,35_month_old
469,22_month_old,is_not,36_month_old
470,22_month_old,is_not,3_month_old
471,22_month_old,is_not,4_month_old
472,22_month_old,is_not,5_month_old
473,22_month_old,is_not,6_month_old
474,22_month_old,is_not,7_month_old
475,22_month_old,is_not,8_month_old
476,22_month_old,is_not,9_month_old
477,23_month_old,is_a,monthly_stage
478,23_month_old,is_a,person
479,23_month_old,is_a,toddler_stage
480,23_month_old,is_not,24_month_old
481,23_month_old,is_not,25_month_old
482,23_month_old,is_not,26_month_old
483,23_month_old,is_not,27_month_old
484,23_month_old,is_not,28_month_old
485,23_month_old,is_not,29_month_old
486,23_month_old,is_not,30_month_old
487,23_month_old,is_not,31_month_old
488,23_month_old,is_not,32_month_old
489,23_month_old,is_not,33_month_old
490,23_month_old,is_not,34_month_old
491,23_month_old,is_not,35_month_old
492,23_month_old,is_not,36_month_old
493,23_month_old,is_not,3_month_old
494,23_month_old,is_not,4_month_old
495,23_month_old,is_not,5_month_old
496,23_month_old,is_not,6_month_old
497,23_month_old,is_not,7_month_old
498,23_month_old,is_not,8_month_old
499,23_month_old,is_not,9_month_old
500,24_month_old,is_a,monthly_stage
501,24_month_old,is_a,person
502,24_month_old,is_a,toddler_stage
503,24_month_old,is_not,25_month_old
504,24_month_old,is_not,26_month_old
505,24_month_old,is_not,27_month_old
506,24_month_old,is_not,28_month_old
507,24_month_old,is_not,29_month_old
508,24_month_old,is_not,30_month_old
509,24_month_old,is_not,31_month_old
510,24_month_old,is_not,32_month_old
511,24_month_old,is_not,33_month_old
512,24_month_old,is_not,34_month_old
513,24_month_old,is_not,35_month_old
514,24_month_old,is_not,36_month_old
515,24_month_old,is_not,3_month_old
516,24_month_old,is_not,4_month_old
517,24_month_old,is_not,5_month_old
518,24_month_old,is_not,6_month_old
519,24_month_old,is_not,7_month_old
520,24_month_old,is_not,8_month_old
521,24_month_old,is_not,9_month_old
522,25_month_old,is_a,monthly_stage
523,25_month_old,is_a,person
524,25_month_old,is_a,toddler_stage
525,25_month_old,is_not,26_month_old
526,25_month_old,is_not,27_month_old
527,25_month_old,is_not,28_month_old
528,25_month_old,is_not,29_month_old
529,25_month_old,is_not,30_month_old
530,25_month_old,is_not,31_month_old
531,25_month_old,is_not,32_month_old
532,25_month_old,is_not,33_month_old
533,25_month_old,is_not,34_month_old
534,25_month_old,is_not,35_month_old
535,25_month_old,is_not,36_month_old
536,25_month_old,is_not,3_month_old
537,25_month_old,is_not,4_month_old
538,25_month_old,is_not,5_month_old
539,25_month_old,is_not,6_month_old
540,25_month_old,is_not,7_month_old
541,25_month_old,is_not,8_month_old
542,25_month_old,is_not,9_month_old
543,26_month_old,is_a,monthly_stage
544,26_month_old,is_a,person
545,26_month_old,is_a,toddler_stage
546,26_month_old,is_not,27_month_old
547,26_month_old,is_not,28_month_old
548,26_month_old,is_not,29_month_old
549,26_month_old,is_not,30_month_old
550,26_month_old,is_not,31_month_old
551,26_month_old,is_not,32_month_old
552,26_month_old,is_not,33_month_old
553,26_month_old,is_not,34_month_old
554,26_month_old,is_not,35_month_old
555,26_month_old,is_not,36_month_old
556,26_month_old,is_not,3_month_old
557,26_month_old,is_not,4_month_old
558,26_month_old,is_not,5_month_old
559,26_month_old,is_not,6_month_old
560,26_month_old,is_not,7_month_old
561,26_month_old,is_not,8_month_old
562,26_month_old,is_not,9_month_old
563,27_month_old,is_a,monthly_stage
564,27_month_old,is_a,person
565,27_month_old,is_a,toddler_stage
566,27_month_old,is_not,28_month_old
567,27_month_old,is_not,29_month_old
568,27_month_old,is_not,30_month_old
569,27_month_old,is_not,31_month_old
570,27_month_old,is_not,32_month_old
571,27_month_old,is_not,33_month_old
572,27_month_old,is_not,34_month_old
573,27_month_old,is_not,35_month_old
574,27_month_old,is_not,36_month_old
575,27_month_old,is_not,3_month_old
576,27_month_old,is_not,4_month_old
577,27_month_old,is_not,5_month_old
578,27_month_old,is_not,6_month_old
579,27_month_old,is_not,7_month_old
580,27_month_old,is_not,8_month_old
581,27_month_old,is_not,9_month_old
582,28_month_old,is_a,monthly_stage
583,28_month_old,is_a,person
584,28_month_old,is_a,toddler_stage
585,28_month_old,is_not,29_month_old
586,28_month_old,is_not,30_month_old
587,28_month_old,is_not,31_month_old
588,28_month_old,is_not,32_month_old
589,28_month_old,is_not,33_month_old
590,28_month_old,is_not,34_month_old
591,28_month_old,is_not,35_month_old
592,28_month_old,is_not,36_month_old
593,28_month_old,is_not,3_month_old
594,28_month_old,is_not,4_month_old
595,28_month_old,is_not,5_month_old
596,28_month_old,is_not,6_month_old
597,28_month_old,is_not,7_month_old
598,28_month_old,is_not,8_month_old
599,28_month_old,is_not,9_month_old
600,29_month_old,is_a,monthly_stage
601,29_month_old,is_a,person
602,29_month_old,is_a,toddler_stage
603,29_month_old,is_not,30_month_old
604,29_month_old,is_not,31_month_old
605,29_month_old,is_not,32_month_old
606,29_month_old,is_not,33_month_old
607,29_month_old,is_not,34_month_old
608,29_month_old,is_not,35_month_old
609,29_month_old,is_not,36_month_old
610,29_month_old,is_not,3_month_old
611,29_month_old,is_not,4_month_old
612,29_month_old,is_not,5_month_old
613,29_month_old,is_not,6_month_old
614,29_month_old,is_not,7_month_old
615,29_month_old,is_not,8_month_old
616,29_month_old,is_not,9_month_old
617,2_month_old,is_a,baby_stage
618,2_month_old,is_a,monthly_stage
619,2_month_old,is_a,person
620,2_month_old,is_not,20_month_old
621,2_month_old,is_not,21_month_old
622,2_month_old,is_not,22_month_old
623,2_month_old,is_not,23_month_old
624,2_month_old,is_not,24_month_old
625,2_month_old,is_not,25_month_old
626,2_month_old,is_not,26_month_old
627,2_month_old,is_not,27_month_old
628,2_month_old,is_not,28_month_old
629,2_month_old,is_not,29_month_old
630,2_month_old,is_not,30_month_old
631,2_month_old,is_not,31_month_old
632,2_month_old,is_not,32_month_old
633,2_month_old,is_not,33_month_old
634,2_month_old,is_not,34_month_old
635,2_month_old,is_not,35_month_old
636,2_month_old,is_not,36_month_old
637,2_month_old,is_not,3_month_old
638,2_month_old,is_not,4_month_old
